time,POSITION,VELOCITY,TORQUE,P_MECH
0.01756763458251953,-0.162017822265625,0.010026318021118641,0.0,0.0
0.04453873634338379,-0.1620025634765625,0.010302797891199589,-0.001088215271010995,-7.044494994333732e-05
0.07139945030212402,-0.162078857421875,-0.007584171835333109,-0.00035177142126485705,1.676287807216642e-05
0.09836935997009277,-0.162200927734375,-0.041296180337667465,0.00035186318564228714,-9.129848741223292e-05
0.1254117488861084,-0.162139892578125,0.014659261330962181,0.001085192314349115,9.995365158850304e-05
0.1526334285736084,-0.1619873046875,-0.00016900914488360286,0.00035169965121895075,-3.7347540801202506e-07
0.17952299118041992,-0.162139892578125,-0.00020776776364073157,0.0009240827057510614,-1.2063376321407588e-06
0.20664691925048828,-0.1619415283203125,0.02904067374765873,-0.003006517421454191,-0.0005485930242373321
0.23409342765808105,-0.162078857421875,-0.007458665408194065,0.0005120296846143901,-2.3995849719834097e-05
0.26123690605163574,-0.1620025634765625,0.016358986496925354,-0.002017925726249814,-0.00020741561063836056
0.2882819175720215,-0.1620635986328125,-0.012221187353134155,-0.0007035161834210157,5.4021590008585496e-05
0.315277099609375,-0.1621246337890625,-0.004834586754441261,0.0010852903360500932,-3.2967435264397236e-05
0.3423011302947998,-0.162078857421875,-0.002072777831926942,0.0005742663634009659,-7.479042526448797e-06
0.36940479278564453,-0.162078857421875,0.0014409498544409871,0.00019156876078341156,1.7344166169373222e-06
0.3964817523956299,-0.16204833984375,0.002093906281515956,3.225201726309024e-05,4.243204780623912e-07
0.4237093925476074,-0.1620635986328125,-0.010141916573047638,0.001055264612659812,-6.724519802005598e-05
0.4507441520690918,-0.1619873046875,0.008767330087721348,-1.2780473294254913e-12,-7.040348598116914e-14
0.47807884216308594,-0.162017822265625,-0.007758628576993942,0.0006706845597364008,-3.26951352576898e-05
0.5052931308746338,-0.16192626953125,0.020558323711156845,-0.0007740520522929728,-9.998566397737345e-05
0.5322976112365723,-0.1619873046875,-0.0019911739509552717,-0.0007369905943050981,9.220426616797202e-06
0.5593490600585938,-0.16204833984375,0.0023448739666491747,0.0007034932496026158,1.0364761374418201e-05
0.5863704681396484,-0.162109375,-0.011416209861636162,0.00013041756756138057,-9.354873257471895e-06
0.6134223937988281,-0.1621246337890625,0.0027968466747552156,-0.0003518115554470569,-6.182421732414717e-06
0.6407673358917236,-0.1622467041015625,-0.001132120261900127,-0.0001358552253805101,9.663818813938934e-07
0.6683177947998047,-0.1622314453125,0.011555669829249382,-0.0005142930895090103,-3.734097742976956e-05
0.6952600479125977,-0.1622772216796875,0.0030692412983626127,-0.0015965566271916032,-3.07889748201011e-05
0.722296953201294,-0.162384033203125,-0.014481051824986935,0.0014079181710258126,-0.0001281024365557631
0.7494635581970215,-0.1621856689453125,0.00596368033438921,0.00013331774971447885,4.9955372214747595e-06
0.7765185832977295,-0.1619720458984375,0.010304825380444527,-0.0008280951296910644,-5.361678088085426e-05
0.8035147190093994,-0.161834716796875,0.012000473216176033,-0.0005085640586912632,-3.83463387719628e-05
0.8307747840881348,-0.161346435546875,0.01743634045124054,-0.0034592016600072384,-0.0003789754604012302
0.8582174777984619,-0.161376953125,-0.010669417679309845,-0.0008020219975151122,5.3765893243682035e-05
0.8854396343231201,-0.161468505859375,-0.00180247169919312,0.00010424240463180467,-1.180572720862189e-06
0.9125528335571289,-0.16156005859375,-0.007920891046524048,0.00039631116669625044,-1.9723783069114642e-05
0.9395265579223633,-0.161865234375,-0.011927389539778233,0.0008974477532319725,-6.725652836441242e-05
0.9668729305267334,-0.1622467041015625,-0.013583255000412464,0.0012182685313746333,-0.00010397447794684496
0.9941117763519287,-0.162628173828125,-0.02724638767540455,0.001776767079718411,-0.0003041720459474027
1.0212035179138184,-0.1629180908203125,-0.0135291563346982,0.0014087921008467674,-0.00011975605787147185
1.0481135845184326,-0.1629180908203125,-0.0059987218119204044,0.001056596403941512,-3.982426038166435e-05
1.0750739574432373,-0.1627655029296875,0.004903638735413551,-0.0003395574167370796,-1.0461923891660112e-05
1.102123737335205,-0.1623382568359375,0.02178872749209404,-0.002651750110089779,-0.00036303151761058193
1.1291131973266602,-0.161773681640625,0.03298594430088997,-0.0036709511186927557,-0.000760829583926729
1.1562647819519043,-0.1612701416015625,0.01971457153558731,-0.0037109567783772945,-0.00045967735246871716
1.1835319995880127,-0.160736083984375,0.0014827520353719592,-0.00035009835846722126,-3.2616583783886806e-06
1.2107043266296387,-0.160003662109375,0.01398079190403223,-0.0030068939086049795,-0.00026413730668381025
1.2380692958831787,-0.1600494384765625,-0.006249676458537579,0.001612167339771986,-6.330638605914096e-05
1.2653181552886963,-0.160552978515625,-0.046960603445768356,0.003014820162206888,-0.0008895593900338889
1.292353868484497,-0.1612091064453125,-0.009802188724279404,0.003508229274302721,-0.00021606822111017553
1.3195853233337402,-0.1620635986328125,-0.027976857498288155,0.004349528346210718,-0.0007645765338022909
1.346498966217041,-0.162628173828125,0.01654360070824623,0.0015927596250548959,0.00016556180253798225
1.3735356330871582,-0.16351318359375,-0.031078461557626724,0.002113236114382744,-0.00041265527835419776
1.4151997566223145,-0.1636199951171875,-0.032674115151166916,0.0008753520087338984,-0.00017970759673271582
1.4423010349273682,-0.162933349609375,0.03938491642475128,-0.0035301712341606617,-0.0008735858046344203
1.4692814350128174,-0.16229248046875,0.03549981489777565,-0.005819515325129032,-0.0012980540398142971
1.496391773223877,-0.1614532470703125,0.021353043615818024,-0.004461184609681368,-0.000598535412712502
1.5233542919158936,-0.1605072021484375,0.028053028509020805,-0.004269451834261417,-0.0007525437268716904
1.5503859519958496,-0.159423828125,0.017161911353468895,-0.004718800075352192,-0.0005088351452658123
1.5775628089904785,-0.1584625244140625,0.020611338317394257,-0.003119259374216199,-0.0004039592425637172
1.6046781539916992,-0.157928466796875,-0.005740603432059288,-0.002197320805862546,7.925576871455746e-05
